"","Sample0872","Sample0832","Sample0868","Sample0903","Sample0835","Sample0904","Sample0875","Sample0874","Sample0836","Sample0865","Sample0910","Sample0908","Sample0906","Sample0831","Sample0907","Sample0867","Sample0873","Sample0912","Sample0840","Sample0833","Sample0901","Sample0902","Sample0876","Sample0829","Sample0869","Sample0909","Sample0905","Sample0866","Sample0871","Sample0830","Sample0870","Sample0839","Sample0834","Sample0911","Sample0837","Sample0838","Sample0389","Sample0386","Sample0429","Sample0391","Sample0435","Sample0433","Sample0436","Sample0349","Sample0384","Sample0427","Sample0382","Sample0351","Sample0428","Sample0355","Sample0392","Sample0426","Sample0437","Sample0434","Sample0432","Sample0354","Sample0387","Sample0344","Sample0388","Sample0350","Sample0353","Sample0352","Sample0430","Sample0431","Sample0383","Sample0348","Sample0345","Sample0346","Sample0393","Sample0390","Sample0347","Sample0385"
"OTU_48",2,61,20,0,331,0,226,0,464,0,0,17,0,0,0,11,0,1,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,6,230,12,1,6,22,9,1,28,0,1,3,17,8,19,0,4,0,0,0,5,2,4,2,6,0,0,5,0,0,0,0
"OTU_3259",8,2,29,349,10,0,286,70,62,6,4,1,550,1,4,47,5,2,10,3,5,6,33,0,1,11,87,0,8,0,4,2,8,55,4,0,1,32,66,16,26,29,30,0,17,43,29,1,56,0,8,7,18,79,41,0,32,3,90,0,0,1,4,0,16,0,3,36,3,19,1,3
"OTU_176",0,1570,42,0,0,0,34,0,208,0,0,197,0,0,0,28,0,0,0,128,0,0,21,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_59",0,0,0,466,4,0,0,0,19,0,298,14,371,6604,0,0,0,0,1,0,0,0,0,0,0,0,0,0,155,0,48,324,0,0,0,0,0,1,14,0,7,0,0,17,1,1,40,0,0,0,0,4,0,2,0,4,9,3,1,0,1,7,1,0,0,9,1,32,0,1,22,2
"OTU_4607",0,0,19,0,25,0,42,0,24,0,0,22,0,0,0,65,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,9,4,2,3,6,4,2,2,0,0,4,0,0,0,1,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"OTU_6277",0,4,0,6,1,0,1,0,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_104",1,0,0,0,2,0,5,0,0,0,138,8,0,859,0,19,0,0,0,0,0,0,1,1,95,0,0,0,0,0,0,46,0,0,4,0,2,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0
"OTU_89",0,10,10,0,4,1,266,0,16,0,0,2,0,183,0,153,0,0,0,0,0,0,33,0,0,0,0,1,0,0,1,0,0,0,0,0,1,6,15,3,5,5,10,8,8,27,3,2,15,0,0,2,0,8,1,1,1,32,0,2,3,0,1,8,0,4,2,8,6,2,0,0
"OTU_223",0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,554,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_4383",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,14,0,0,0,0,0,0,1,0,4,0,3,0,0
"OTU_55",0,0,89,0,80,462,113,0,11,0,0,463,606,2400,33,25,0,0,6658,0,11,0,117,0,42,0,272,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,2,3,0,12,0,1,0,3,0,27,4,4,1,0,0,0,0,13,3,0,2,3,0,0,0,5,2,0,1
"OTU_389",0,0,0,0,0,0,0,0,49,0,0,21,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,1,0,2,0,5,1,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_35",0,0,0,0,0,0,0,0,0,0,1,0,0,602,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"OTU_54",0,143,202,697,121,94,104,0,29,0,0,2222,79,746,0,204,0,0,1,0,0,0,0,0,174,21,0,0,1,0,0,69,0,0,7,0,37,0,5,40,13,92,19,7,56,144,254,7,63,0,47,34,10,49,27,2,3,4,246,4,2,1,3,3,13,0,0,30,0,1,2,0
"OTU_401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,2,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU_164",0,0,0,0,27,0,13,0,14,0,0,76,0,131,0,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,31,0,15,42,14,2,19,1,21,15,23,1,10,11,0,2,0,29,4,6,24,1,3,0,2,0,2,2,4,5,0,11,4,2,0,1
"OTU_120",56,0,0,0,0,0,8,0,0,0,0,272,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,7,5,1,0,0,0,2,0,7,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
"OTU_673",0,3,2,0,56,0,60,76,80,75,0,10,50,0,1,4,0,0,0,35,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,6,6,6,0,5,5,0,2,15,0,0,2,1,2,6,0,3,0,1,0,0,1,2,2,6,0,0,0,1,5,0,0
"OTU_510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_130",0,0,0,0,102,0,17,0,13,0,0,40,159,0,0,26,0,0,0,13,0,0,8,2,0,0,0,0,243,0,0,0,22,0,0,0,0,4,6,7,1,5,0,0,14,3,9,0,5,1,1,0,1,0,1,0,1,1,2,0,2,0,0,0,1,4,1,5,1,6,0,0
"OTU_464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_174",147,1102,4,0,3,0,0,0,0,0,1,27,0,561,0,6,0,1,1,0,0,0,1,1,0,0,0,0,38,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
"OTU_75",0,134,0,0,17,0,0,159,19,0,22,7,0,211,24,21,1,1,0,15,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,6,32,63,28,64,12,87,2,111,13,72,8,99,2,4,41,18,15,51,2,55,2,26,3,11,2,41,15,7,19,0,29,8,20,0,0
"OTU_11",0,135,0,366,7,4,8,61,0,0,321,156,379,3118,0,212,0,457,0,12,0,41,0,0,0,5,0,0,135,0,0,481,0,0,9,16,433,97,223,1000,705,47,16,48,34,135,195,0,58,0,80,83,16,91,30,7,84,294,1175,0,2,2,8,25,135,8,7,88,0,39,16,3
"OTU_377",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1",0,40,48,338,0,0,0,201,18,0,0,0,1,489,0,0,40,0,1,81,0,0,100,0,5,743,280,0,116,0,0,0,5,0,0,0,57,4,25,1198,264,82,17,4,6,27,118,23,10,0,58,32,22,58,36,3,40,22,175,3,7,5,0,7,8,2,0,11,5,94,1,10
"OTU_189",0,3080,0,41,0,0,0,0,0,1,1,0,0,28,0,0,0,0,0,1,0,0,0,0,0,0,0,754,82,0,0,0,93,0,7,1,0,1,0,1,1,0,0,0,0,0,1,0,5,2,1,0,0,0,0,24,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
"OTU_199",0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_19",0,32,768,333,418,0,497,232,2176,113,56,334,280,729,0,728,46,0,0,169,0,48,521,0,1,66,193,0,71,0,0,0,0,0,0,0,4,20,46,130,30,134,141,10,11,274,23,1,127,3,12,20,33,145,79,0,61,35,23,6,10,6,63,38,1,6,2,78,4,8,6,13
"OTU_239",0,331,0,0,11,0,0,0,12,0,0,32,70,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,6,0,0,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_203",0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
"OTU_924",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_115",0,274,299,150,7,0,37,0,99,0,0,256,0,0,0,0,0,0,0,0,0,0,642,0,0,0,88,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,6,0,1,2,2,0,1,0,0,0,2,7,0,0,0,0,0,0,6,0,0,5,1,0,0,3,0,0,0,0
"OTU_258",0,0,0,0,0,0,1,0,0,0,47,0,0,0,0,0,0,0,0,0,985,0,0,16,0,0,0,0,0,226,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_454",0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_128",0,24,59,0,76,0,123,168,4,0,104,45,0,6,0,301,0,0,0,42,0,0,25,0,0,0,0,0,0,0,0,0,15,0,0,0,1,4,50,17,8,84,45,0,1,46,0,0,50,0,1,1,44,46,6,0,8,0,4,0,0,0,10,8,0,0,0,8,0,0,0,0
"OTU_82",9,79,65,570,174,0,76,0,32,0,412,29,26,450,0,807,124,37,0,322,0,283,2,0,212,0,21,0,0,0,69,0,0,0,0,0,5,2,63,16,4,13,3,0,8,10,6,0,19,4,1,2,2,24,8,1,17,3,32,5,2,0,39,15,1,0,3,10,10,15,0,0
"OTU_52",0,28,1,0,0,0,1596,0,0,0,0,3,0,0,0,91,0,0,0,0,0,0,5489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,5,1,10,0,2,0,0,1,0,0,0,0,6,92,1,0,5,0,0,0,0,0,65,57,0,0,0,0,0,0,0,0
