"","Sample0547","Sample0588","Sample0509","Sample0579","Sample0543","Sample0553","Sample0516","Sample0546","Sample0550","Sample0582","Sample0586","Sample0545","Sample0513","Sample0552","Sample0548","Sample0578","Sample0549","Sample0517","Sample0587","Sample0581","Sample0544","Sample0510","Sample0506","Sample0585","Sample0583","Sample0584","Sample0580","Sample0542","Sample0512","Sample0551","Sample0590","Sample0507","Sample0508","Sample0511","Sample0514","Sample0515","Sample0284","Sample0267","Sample0283","Sample0319","Sample0285","Sample0281","Sample0317","Sample0328","Sample0321","Sample0282","Sample0279","Sample0286","Sample0323","Sample0289","Sample0325","Sample0287","Sample0326","Sample0322","Sample0324","Sample0318","Sample0320","Sample0290","Sample0288","Sample0327","Sample0472","Sample0475","Sample0471","Sample0470","Sample0467","Sample0466","Sample0477","Sample0474","Sample0478","Sample0473","Sample0469","Sample0468"
"OTU_464",0,2,0,24,0,0,0,0,22,79,41,0,13,40,12,52,0,2,0,0,13,0,0,0,0,2,18,0,48,0,2,12,0,127,0,0,0,126,16,0,0,0,3,0,0,0,138,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,8,0
"OTU_174",50,1,0,16,63,10,30,0,96,171,29,246,42,51,0,0,41,95,0,0,0,71,18,0,22,8,13,106,20,10,52,0,3,36,15,40,0,0,0,0,21,156,9,0,0,0,16,0,0,0,0,18,0,0,17,0,0,105,0,0,0,0,0,0,11,0,0,1,19,0,8,10
"OTU_75",12,48,42,59,35,17,30,858,0,10,105,0,44,9,40,50,80,239,30,1,10,0,145,203,9,6,74,0,0,19,255,12,67,0,19,0,609,523,444,30,151,1215,86,679,292,1314,219,432,58,756,0,284,117,30,116,150,73,954,688,6,270,116,426,212,657,387,966,491,580,738,174,949
"OTU_11",2472,68,36,1277,124,804,13,302,3650,572,78,4147,1219,598,2,197,11,0,1201,0,67,806,265,695,243,501,0,1568,219,19,12,719,73,152,23,706,0,25,258,1,1,56,48,63,9,0,1,12,628,36,5,16,81,20,234,10,112,24,0,171,13,3,38,21,6,5,0,2,1,78,5,4
"OTU_377",0,0,0,0,0,0,0,0,0,0,0,1218,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1",61,9,14,245,11,20,0,57,63,42,44,296,50,166,0,0,23,0,156,0,392,137,36,1,62,207,0,6,316,15,0,447,1,81,26,90,686,240,1167,2,1,91,0,30,0,394,87,176,14,247,0,288,45,15,0,59,0,74,57,46,44,57,56,118,38,155,7,18,86,239,11,131
"OTU_189",132,60,0,41,0,116,0,0,684,119,50,826,27,2,0,0,10,7,53,0,3,61,24,0,4,82,0,175,15,0,62,7,5,0,38,22,0,0,0,0,0,0,0,15,0,0,0,21,34,14,0,0,0,27,38,21,100,0,3,0,3,0,32,2,4,2,0,0,3,0,0,56
"OTU_199",0,0,0,0,27,28,0,0,188,83,20,221,7,7,0,0,0,0,0,0,0,139,12,238,25,0,0,155,0,6,0,0,0,40,10,0,0,0,0,0,0,0,6,16,0,0,0,0,2,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_19",474,769,3696,1447,2325,2807,2954,3757,384,210,2726,464,110,1376,2430,1358,6766,5960,392,2871,609,98,2471,394,895,10069,1075,404,1996,1568,6075,174,1118,220,1514,103,1271,1868,808,282,2308,3043,500,294,296,2366,1417,1239,486,1353,560,1146,268,255,627,318,206,2753,1675,720,1176,409,770,562,691,973,1041,352,366,2014,491,549
"OTU_239",0,9,9,0,17,0,17,0,28,21,348,67,196,2,6,63,3,45,0,0,6,100,38,267,61,16,0,0,0,81,39,0,95,6,0,0,0,0,0,0,28,1087,0,211,3,0,0,0,75,50,0,0,0,0,0,0,17,0,0,0,0,0,3,0,4,0,9,0,0,0,0,0
