"","Sample0528","Sample0522","Sample0554","Sample0556","Sample0527","Sample0565","Sample0525","Sample0523","Sample0524","Sample0560","Sample0564","Sample0557","Sample0521","Sample0591","Sample0559","Sample0558","Sample0598","Sample0563","Sample0520","Sample0561","Sample0526","Sample0562","Sample0599","Sample0529","Sample0519","Sample0518","Sample0555","Sample0600","Sample0337","Sample0303","Sample0293","Sample0338","Sample0339","Sample0331","Sample0302","Sample0336","Sample0330","Sample0335","Sample0295","Sample0329","Sample0332","Sample0300","Sample0301","Sample0340","Sample0297","Sample0296","Sample0299","Sample0292","Sample0334","Sample0333","Sample0298","Sample0291","Sample0487","Sample0488","Sample0492","Sample0484","Sample0493","Sample0482","Sample0485","Sample0486","Sample0490","Sample0481","Sample0491","Sample0489"
"OTU_65",61,814,299,16,18,1045,3,7,968,0,145,7,1117,73,3,24,0,5,27,93,0,242,0,147,86,0,31,0,0,0,0,33,14,0,38,0,905,0,0,11,40,0,0,0,0,0,0,64,0,24,0,0,63,0,3,211,58,3,5,4,20,0,24,0
"OTU_4096",179,299,580,788,139,112,146,40,1247,364,1747,1775,40,1456,132,27,358,96,267,372,14,914,0,70,225,52,16,8,103,66,0,14,0,0,2,39,4,217,0,451,2,0,11,0,0,0,0,0,2,0,27,48,34,23,36,1,29,137,101,45,0,16,30,2
"OTU_15",128,1574,504,23066,136,576,743,344,2157,303,3653,1180,1694,3591,36,59,4178,598,157,3574,1062,556,1,3607,119,325,471,8,605,157,56,79,140,271,183,670,21,109,75,651,429,47,473,55,220,87,0,232,270,282,78,0,132,152,214,136,268,126,86,162,96,77,124,38
"OTU_45",0,39,80,143,183,4,11,0,1,206,31,63,264,0,103,317,0,37,0,1053,1070,294,0,69,203,114,54,1,0,0,0,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"OTU_48",85,1087,1035,1814,1,2472,1603,584,2682,273,1779,2341,1186,14176,1,0,2158,153,38,181,1,422,0,164,34,0,131,32,38,0,23,353,518,273,24,362,20,384,119,61,75,335,0,20,1,0,0,20,154,187,0,50,201,141,45,38,25,152,53,19,18,62,35,1
"OTU_3259",159,72,1388,259,434,478,669,318,1407,458,546,454,746,796,367,40,537,174,352,614,109,268,0,772,875,101,220,1,934,6936,248,1270,1150,3534,894,1825,932,5161,3004,3457,1441,1834,3656,167,7842,1857,4616,323,3114,1407,1398,562,326,125,254,538,621,67,130,755,297,620,150,89
"OTU_176",27,44,14,169,0,1755,151,34,91,25,29,534,159,591,3,0,441,0,10,28,0,171,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0
"OTU_59",441,0,0,0,0,0,0,57,2,255,1,34,49,52,3,59,0,71,423,0,0,0,0,39,79,4,138,1,0,3617,70,1,0,36,173,0,0,0,31,0,0,0,108,0,37,20,0,55,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4607",56,67,113,210,0,671,356,211,212,4,814,696,28,13996,0,0,577,19,115,1,0,37,0,49,1,1,8,18,129,0,0,103,152,133,0,408,101,0,0,74,486,0,0,105,0,0,0,0,34,0,0,0,28,66,27,33,13,69,39,129,28,63,15,0
"OTU_6277",4,0,0,0,0,0,0,2,0,8,0,0,4,1,0,0,1,5,0,1,1,0,0,5,0,1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_104",58,49,357,0,243,27,30,30,0,399,23,15,168,42,539,283,1,0,290,784,5397,209,0,106,281,504,0,0,1,27,0,11,9,4,0,22,0,1,0,0,0,0,0,0,20,0,0,0,0,0,14,0,0,0,0,0,0,0,37,0,17,0,5,0
"OTU_89",305,182,261,267,19,86,19,82,304,78,149,259,1131,47,35,9,77,49,428,340,348,185,1,224,20,98,11,0,64,0,0,7,280,25,0,18,114,0,0,1,33,0,53,0,4,25,0,0,0,0,0,22,77,38,9,21,32,18,25,66,24,37,28,7
"OTU_223",436,0,0,0,0,0,0,3730,1,5,0,0,0,19,0,0,14,20,2899,0,0,0,0,0,0,62,53,1,0,105,0,0,0,18,154,309,2142,0,1,0,201,92,197,0,0,0,0,0,0,15,0,0,0,0,0,0,5,0,0,14,0,24,19,0
"OTU_4383",1,0,0,0,3,0,0,0,0,2,0,0,34,3,15,1,0,0,0,58,25,1,0,1,22,28,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_55",0,265,1473,508,40,1716,183,8,221,80,240,533,34,212,16,20,0,0,2,60,13,97,0,2558,13,0,6,2,0,0,0,5,0,58,0,0,138,0,0,0,9,0,19,0,0,0,74,0,0,0,0,0,24,0,7,0,0,0,5,364,43,3,0,0
"OTU_389",22,0,0,4,0,11,0,20,54,2,0,0,0,522,0,0,27,0,0,16,0,12,0,0,0,0,35,0,49,16,0,21,0,12,0,0,0,111,1,0,27,0,83,0,194,0,0,0,0,0,0,0,0,8,19,28,22,1,17,0,0,0,11,0
