"","Sample0934","Sample0891","Sample0864","Sample0926","Sample0900","Sample0893","Sample0897","Sample0860","Sample0857","Sample0895","Sample0862","Sample0892","Sample0889","Sample0894","Sample0896","Sample0854","Sample0899","Sample0898","Sample0859","Sample0933","Sample0861","Sample0858","Sample0863","Sample0890","Sample0853","Sample0856","Sample0855","Sample0935","Sample0416","Sample0409","Sample0456","Sample0461","Sample0414","Sample0411","Sample0462","Sample0415","Sample0369","Sample0413","Sample0406","Sample0463","Sample0464","Sample0374","Sample0453","Sample0408","Sample0376","Sample0373","Sample0379","Sample0460","Sample0407","Sample0459","Sample0458","Sample0377","Sample0412","Sample0380","Sample0465","Sample0372","Sample0455","Sample0410","Sample0368","Sample0378","Sample0375","Sample0370","Sample0417"
"OTU_4607",0,21,0,37,57,0,0,0,0,0,0,60,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,1,5,0,1,4,1,0,2,4,8,0,0,10,2,0,0,1,0,0,0,13,13,10,32,0,1,0,13,2,6,0,0,1,0,0,0
"OTU_6277",0,3,0,11,0,0,0,0,0,4,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_104",0,9,0,9,31,234,0,0,98,263,0,15,0,701,0,0,1,0,19,0,0,0,0,0,35,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_89",0,8,0,0,136,0,0,1,0,0,0,14,0,0,0,0,196,0,12,0,0,0,0,0,2,0,0,0,2,0,0,0,1,22,1,4,4,0,0,6,1,0,1,0,0,1,0,5,2,1,5,0,0,0,4,7,1,0,1,7,0,10,0
"OTU_223",0,15,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,267,25,0,0,0,0,17,272,0,0,0,1,0,11,8,0,0,0,16,0,0,0,0,11,5,0,211,21,45,0,0,9,18,13,0,23,3,63,0,0,0
"OTU_4383",0,0,0,0,9,0,0,0,116,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_55",0,22,1183,229,230,561,0,99,252,294,0,61,0,129,0,0,182,0,142,1,116,1,143,1,87,0,0,0,0,0,3,2,1,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,1,2,26,0,0,0,0,2,2,0,0,4,0,0,9
"OTU_389",0,8,0,271,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,3,45,1,10,2,6,0,0,4,0,0,0,0,0,5,7,3,0,0,0,12,2,0,0,0,0,6,1,0,0,0
"OTU_419",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1561,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,1,0,0
"OTU_35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,11,0,3,0,0,0,0,0,1,0,0,0,0,25,2,0,0,2,0,0,1,0,0,0,0,0
"OTU_54",0,112,89,1874,131,418,0,0,0,1037,0,9,0,0,0,1894,173,0,22,0,1,0,300,1,84,0,0,1,82,0,21,0,0,0,4,0,0,0,9,64,3,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,64,0,0,50,0,0,0
"OTU_401",0,3,0,0,1,345,0,41,58,0,0,0,0,74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_164",0,32,0,71,46,97,0,0,0,0,0,10,0,0,0,0,17,0,27,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,4,0,7,1,0,0,21,4,0,1,0,2,0,5,4,2,10,0,0,5,0,3,0,0,4,3,1,0,0
"OTU_120",0,122,0,32,9,0,0,0,0,0,0,0,0,3968,0,1,43,0,4,0,70,0,0,1,0,213,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,18,2,0,1,1,1,0,0,0,3,0,0,0,0
"OTU_673",0,27,0,18,4,0,0,132,0,0,0,7,0,0,11,0,35,24,14,53,0,0,0,0,0,0,0,0,6,8,4,2,7,3,10,12,3,2,1,0,9,0,5,2,0,5,0,1,15,14,9,0,1,0,3,2,3,1,0,4,0,0,0
"OTU_130",0,27,0,52,22,1,0,0,0,0,37,4,0,0,0,90,34,0,64,0,0,1,0,0,0,0,0,0,0,6,0,0,0,1,2,3,0,2,0,1,3,3,0,0,0,17,0,0,0,2,4,0,0,0,1,4,0,0,0,8,0,0,0
"OTU_464",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"OTU_174",0,22,179,188,37,2428,0,0,155,0,0,5,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,28,1,0,0,8,3,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,0,3,2,0,0,0,0
"OTU_75",0,3,0,154,42,0,0,0,0,0,0,31,0,0,0,67,0,409,2,0,0,0,0,0,93,0,0,2,0,1,12,5,6,0,3,3,5,17,1,3,75,1,0,2,0,4,1,7,10,4,18,0,0,1,3,18,10,0,0,2,0,0,0
"OTU_11",0,103,54,40,5,926,2,0,2,0,36,0,0,4,0,434,31,1,21,207,6,0,164,1,0,4,88,4,2,11,19,33,0,91,11,31,0,0,0,70,9,1,18,0,17,2,0,2,19,185,66,100,1,5,17,0,41,1,0,6,1,0,0
"OTU_1",50258,0,153,594,30,342,0,1,0,113,0,0,0,1,37,26,53,0,14,0,0,12,220,0,0,0,2,32,3,192,237,415,20,40,48,42,0,0,9,202,58,20,251,24,57,6,28,52,15,31,41,56,4,6,218,1,209,5,11,9,0,0,0
"OTU_189",0,37,552,146,0,5173,0,1,300,451,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0
"OTU_199",0,7,0,0,3,5938,0,0,0,0,0,0,0,110,0,0,1,0,0,0,155,0,0,0,37,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"OTU_19",1,1930,0,132,2697,0,121,248,177,175,0,1813,22,87,0,372,2829,517,494,159,23,1,107,0,8,0,0,6,12,34,1,16,42,7,75,27,57,18,9,25,14,5,7,35,4,1,6,81,28,101,264,2,1,0,11,5,12,1,2,6,0,3,0
"OTU_239",0,2,0,12,26,0,122,0,0,0,0,0,0,0,0,131,0,0,65,0,0,0,0,0,0,0,0,0,1,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_203",0,15,0,26,0,347,0,1,176,310,0,1,0,224,0,0,0,0,0,0,5,0,0,0,75,0,0,0,1,1,0,0,0,0,0,11,0,1,0,0,1,0,0,4,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_115",0,26,0,91,162,0,0,145,0,0,0,241,0,0,0,0,6,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,11,9,1,0,0,0,0,0,1,0,0,0,1,5,3,1,0,0,0,0,0,3,0,0,0,0,0,0
"OTU_258",0,0,0,0,2,766,0,0,459,824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_454",0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_128",0,1135,0,63,263,0,0,29,0,0,0,60,0,0,0,0,2650,0,486,0,0,0,0,0,0,0,13,0,0,0,0,0,6,1,17,1,2,1,0,0,1,0,0,4,1,0,0,20,21,19,9,0,0,1,6,0,0,2,1,0,0,2,0
"OTU_82",0,336,63,5,3068,25,0,0,0,454,0,514,0,78,0,176,58,0,80,0,78,0,192,0,0,141,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_52",0,592,0,0,1589,0,0,9,157,0,0,216,0,0,0,0,44,0,3778,134,0,0,0,0,1,0,1,1,0,0,0,4,5,0,12,0,14,3,27,1,0,2,0,0,45,0,1,3,397,3,2,1,0,0,0,0,0,1,0,0,0,0,0
"OTU_482",0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,2,4,1,5,0,0,0,0,0,2,0,6,0,0,0,0
"OTU_1659",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_7",0,132,0,45,1,0,0,0,0,213,0,0,0,0,0,421,964,0,0,0,0,0,0,0,0,0,23,0,0,2,74,124,1,7,13,14,0,0,4,47,9,5,80,2,0,0,0,16,7,13,41,0,0,0,27,3,45,0,0,1,1,0,0
"OTU_169",0,23,0,13,1,0,0,5,308,145,0,19,0,0,0,98,0,128,0,0,0,0,0,0,76,0,0,0,9,4,4,2,0,7,1,12,0,6,2,0,1,2,0,2,0,0,0,0,3,4,2,0,1,0,0,2,0,2,12,1,0,1,0
"OTU_826",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_403",0,6,0,20,49,0,0,0,0,0,0,16,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"OTU_14",42846,248,0,6,15,286,1,9,303,3800,63,132,1,0,0,519,23,0,8,2,43,0,327,0,1,0,0,17,10,30,5,0,0,32,14,4,0,3,1,17,0,0,0,0,0,0,0,1,3,2,1,41,0,0,7,13,6,5,9,3,0,0,0
"OTU_256",0,19,0,15,2,382,0,0,946,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"OTU_173",5594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_131",0,1225,0,165,1788,38,0,158,152,0,0,1898,0,0,0,1,5296,0,1038,205,0,0,0,0,0,0,0,1,2,19,1,0,2,5,43,16,22,4,0,0,4,4,0,7,3,1,0,34,35,45,69,0,1,0,2,1,1,0,0,1,0,0,0
"OTU_373",0,0,0,0,1421,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_5156",0,18,0,0,32,0,0,9,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,4,0,0,0,1,0,0,0,3,0,2,0,0,0,2,7,0,70,4,1,15,0,0,0,2,3,3,0,0,0,0,0,0
"OTU_195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,1,7,0,1,2,2,0,0,0,0,0,0,4,0,16,0,0,0,0
"OTU_262",0,0,0,0,13,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,14,0,3,0,0,0,3,0,4,0,0,0,5,4,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0
