"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_1926","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia",""
"OTU_5291","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","","",""
"OTU_2115","Fungi","Ascomycota","Dothideomycetes","","","",""
"OTU_2434","Fungi","Chytridiomycota","","","","",""
"OTU_7197","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","","",""
"OTU_1601","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sporormiella","Sporormiella leporina "
"OTU_1760","Fungi","Basidiomycota","","","","",""
"OTU_271","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Rickenellaceae","Resinicium","Resinicium friabile "
"OTU_1218","Fungi","Ascomycota","Lecanoromycetes","","","",""
"OTU_851","Fungi","Ascomycota","Dothideomycetes","Pleosporales","","",""
"OTU_2645","Fungi","","","","","",""
"OTU_2758","Fungi","Basidiomycota","Agaricomycetes","Gloeophyllales","Gloeophyllaceae","Gloeophyllum","Gloeophyllum trabeum "
"OTU_2264","Fungi","","","","","",""
"OTU_7703","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Rhynchogastremataceae","Papiliotrema",""
"OTU_2140","Fungi","Ascomycota","Sordariomycetes","Hypocreales","","",""
"OTU_2455","Fungi","Ascomycota","Sordariomycetes","Myrmecridiales","Xenodactylariaceae","Xenodactylaria","Xenodactylaria thailandica "
"OTU_5565","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma",""
"OTU_6086","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","",""
"OTU_2467","Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Scleroderma",""
"OTU_2840","Fungi","","","","","",""
"OTU_2173","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Gnomoniaceae","Plagiostoma",""
"OTU_2005","Fungi","Ascomycota","Dothideomycetes","Venturiales","","",""
"OTU_7004","Fungi","Basidiomycota","Cystobasidiomycetes","","Symmetrosporaceae","Symmetrospora",""
"OTU_3113","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodosporidiobolus",""
"OTU_7454","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Venturia","Venturia inaequalis "
"OTU_3805","Fungi","Basidiomycota","Tremellomycetes","Tremellales","","",""
"OTU_4835","Fungi","Basidiomycota","Agaricomycetes","","","Xenasmatella",""
"OTU_3286","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Calcarisporium","Calcarisporium arbuscula "
"OTU_5568","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma dimennae "
"OTU_5211","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma dimennae "
"OTU_3955","Fungi","Basidiomycota","Agaricomycetes","Russulales","Peniophoraceae","Entomocorticium",""
"OTU_5047","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Zasmidium",""
"OTU_6506","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma dimennae "
"OTU_7011","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma dimennae "
"OTU_5781","Fungi","Ascomycota","Sordariomycetes","Xylariales","Bartaliniaceae","Bartalinia","Bartalinia pondoensis "
"OTU_4687","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","",""
"OTU_2809","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Kwoniella","Kwoniella heveanensis "
"OTU_4691","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma",""
"OTU_6578","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma",""
"OTU_2826","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","",""
"OTU_7056","Fungi","Ascomycota","Sordariomycetes","Hypocreales","","",""
"OTU_7771","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Biatriosporaceae","Biatriospora",""
"OTU_6083","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma",""
"OTU_4567","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","",""
"OTU_6527","Fungi","Ascomycota","Leotiomycetes","Helotiales","","Tricellula",""
"OTU_7744","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","",""
"OTU_6528","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma",""
"OTU_3859","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Knufia","Knufia petricola "
"OTU_2700","Fungi","Ascomycota","Dothideomycetes","Pleosporales","","",""
"OTU_4327","Fungi","Ascomycota","","","","",""
"OTU_1089","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber","Tuber melanosporum "
"OTU_2517","Fungi","Ascomycota","Sordariomycetes","Xylariales","Melogrammataceae","Melogramma",""
"OTU_3784","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber",""
"OTU_3244","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe",""
"OTU_3468","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Tylosporaceae","",""
"OTU_6999","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Hannaella",""
"OTU_6230","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma",""
"OTU_2937","Fungi","Basidiomycota","","","","",""
"OTU_7193","Fungi","Ascomycota","Dothideomycetes","Myriangiales","Elsinoaceae","Elsinoe","Elsinoe bidentis "
"OTU_4399","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","",""
"OTU_5210","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma",""
"OTU_4783","Fungi","","","","","",""
"OTU_2316","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Clavulinopsis",""
"OTU_500","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Nectriella",""
