"","Sample0538","Sample0541","Sample0570","Sample0530","Sample0571","Sample0532","Sample0496","Sample0504","Sample0499","Sample0502","Sample0536","Sample0534","Sample0575","Sample0537","Sample0501","Sample0503","Sample0577","Sample0533","Sample0497","Sample0494","Sample0566","Sample0500","Sample0535","Sample0531","Sample0567","Sample0569","Sample0495","Sample0573","Sample0576","Sample0505","Sample0498","Sample0540","Sample0574","Sample0568","Sample0539","Sample0572","Sample0133","Sample0136","Sample0135","Sample0141","Sample0132","Sample0139","Sample0131","Sample0140","Sample0130","Sample0138","Sample0137","Sample0134","Sample0278","Sample0307","Sample0310","Sample0266","Sample0273","Sample0268","Sample0270","Sample0269","Sample0313","Sample0316","Sample0308","Sample0309","Sample0305","Sample0271","Sample0277","Sample0315","Sample0274","Sample0272","Sample0280","Sample0312","Sample0306","Sample0276","Sample0314","Sample0311"
"OTU_344",0,4,0,0,0,1,0,0,0,0,0,0,0,8,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,9,0,0,0,10,0,0,0,0,0,35,0,0
"OTU_3131",0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,1,0,0,0,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"OTU_822",0,37,14,0,0,0,0,2,0,0,16,0,10,8,0,7,0,2,1,12,1,0,0,6,21,64,0,16,0,0,0,0,0,2,7,0,19,22,2,4,0,0,35,0,4,45,3,0,45,0,0,0,25,15,0,33,10,0,0,0,0,13,50,0,0,18,59,0,0,14,0,0
"OTU_5064",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,3,0,0,0,5,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_3378",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"OTU_2069",0,1,0,0,2,0,0,2,0,0,0,0,0,0,63,0,0,33,0,0,0,0,0,5,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_165",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_61",0,0,0,9,0,0,0,3,0,100,11,0,3,0,0,0,0,0,0,0,59,0,1,0,10,0,0,0,0,302,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,13,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
"OTU_1094",41,0,14,30,1,11,4,0,0,0,4,0,0,16,1,0,0,12,3,0,0,1,0,0,0,8,0,0,1,4,50,2,0,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,4,6,0,0,6,0
"OTU_1129",0,6,0,10,0,0,0,0,3,0,0,0,0,4,3,0,0,5,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,2,1,4,3,5,4,3,13,0,1,7,7,1,1,1,0,9,15,3,3,7,7,0,33,26,27,15,9,3,0,16,16,3,0,17,0,0,15,0
