"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_5598","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Ophiosphaerella","Ophiosphaerella aquatica "
"OTU_1431","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Melampsoraceae","Melampsora","Melampsora medusae-populina "
"OTU_1041","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Keissleriella","Keissleriella caraganae "
"OTU_171","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe caulivora "
"OTU_192","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Chaetosphaeria",""
"OTU_591","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Fraxinicola","Fraxinicola europaea "
"OTU_930","Fungi","Ascomycota","Leotiomycetes","Helotiales","Calloriaceae","Populomyces","Populomyces zwinianus "
"OTU_427","Fungi","Ascomycota","Leotiomycetes","Helotiales","","",""
"OTU_1177","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Crocicreas",""
"OTU_213","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala opportunistica "
"OTU_2813","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","",""
"OTU_294","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","","",""
"OTU_1728","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","",""
"OTU_1372","Fungi","Ascomycota","","","","",""
"OTU_1049","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Dothiora",""
"OTU_852","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella",""
"OTU_1336","Fungi","Basidiomycota","Cystobasidiomycetes","Sakaguchiales","Sakaguchiaceae","Sakaguchia",""
"OTU_4385","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma",""
"OTU_185","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium",""
"OTU_87","Fungi","Ascomycota","Sordariomycetes","Atractosporales","Conlariaceae","Conlarium",""
"OTU_900","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Tetraplosphaeriaceae","Tetraploa","Tetraploa sasicola "
"OTU_3316","Fungi","Ascomycota","Taphrinomycetes","Taphrinales","Protomycetaceae","Protomyces","Protomyces inouyei "
