"","Sample0682","Sample0614","Sample0647","Sample0678","Sample0612","Sample0685","Sample0650","Sample0613","Sample0606","Sample0611","Sample0687","Sample0681","Sample0652","Sample0677","Sample0608","Sample0641","Sample0683","Sample0645","Sample0643","Sample0649","Sample0615","Sample0680","Sample0642","Sample0684","Sample0679","Sample0616","Sample0686","Sample0607","Sample0648","Sample0605","Sample0644","Sample0651","Sample0610","Sample0688","Sample0609","Sample0646","Sample0087","Sample0083","Sample0050","Sample0012","Sample0046","Sample0042","Sample0049","Sample0007","Sample0003","Sample0091","Sample0047","Sample0045","Sample0006","Sample0040","Sample0086","Sample0094","Sample0011","Sample0005","Sample0044","Sample0088","Sample0092","Sample0089","Sample0090","Sample0008","Sample0002","Sample0001","Sample0048","Sample0013","Sample0093","Sample0010","Sample0041","Sample0085","Sample0004","Sample0084","Sample0043","Sample0051"
"OTU_133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,18,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,50,1,19,15,5,13,0,0,0,0,0,0
"OTU_95",0,0,0,0,132,0,0,0,0,0,0,0,140,0,0,0,0,0,0,102,0,0,5,18,0,0,0,0,0,0,44,0,0,0,12,0,0,1,0,0,0,5,0,0,9,0,9,0,31,0,3,4,2,0,0,0,0,0,1,0,0,2,0,0,19,0,18,7,0,0,0,0
"OTU_65",0,9,0,0,19,0,0,0,0,0,0,0,5,0,0,0,28,12,1,1,0,13,0,0,0,0,0,0,0,0,0,2,0,0,31,0,1,1,0,0,0,0,0,0,12,0,3,0,1,0,6,0,1,0,10,0,0,0,0,0,18,5,9,16,0,6,0,0,0,1,0,0
"OTU_4096",0,0,0,0,32,0,120,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,64,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,14,7,6,2,3,0,0,0,0
"OTU_15",0,0,0,0,18,0,248,0,0,20,0,8,4,0,35,0,50,4,4,8,0,0,0,8,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,15,35,4,0,9,0,3,4,0,1,0,0,1,0,1,9,27,10,20,8,34,0,33,22,0,0,0,0
"OTU_45",2,0,0,0,67,0,0,2,0,0,0,33,152,0,0,7,0,4,0,175,0,0,0,31,0,0,0,0,0,0,19,0,0,8,29,0,0,0,0,0,0,0,0,0,12,7,12,6,15,0,10,3,0,0,0,0,0,2,0,0,1,3,0,12,20,3,29,8,0,0,0,0
"OTU_48",0,1,0,0,15,0,0,0,0,3,0,0,0,0,0,0,0,0,0,131,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,25,41,0,0,0,104,0,7,0,0,0,7,0,4,1,0,1,10,0,0,19,20,10,16,65,10,28,0,5,0,0,0,0
"OTU_3259",0,0,56,0,18,0,0,10,0,0,85,0,0,0,0,0,10,1,0,11,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,5,0,1,0,0,0,6,100,7,27,11,56,7,24,14,5,31,2074,5,31,4,14,60,88,32,32,114,54,36,0,48,0,1,0,0
"OTU_59",32,12,2156,13,35,0,125,14,193,3,78,5,575,0,18,1,0,70,5,1,43,0,146,112,61,76,35,86,9,13,0,0,0,589,0,0,34,3,0,0,0,0,0,0,0,5,0,0,0,20,3,2,21,1,143,62,0,6,0,0,23,9,3,46,7,1,0,14,0,0,0,0
"OTU_4607",0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,5,8,0,6,0,1,0,0,0,0
"OTU_6277",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"OTU_89",0,0,28,0,10,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31,0,0,0,6,0,2,0,0,0,1,0,4,2,0,0,0,0,0,0,31,13,10,5,22,49,1,12,0,0,0,0
"OTU_223",0,0,368,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,4,0,9,0,0,1,0,0,0,0
"OTU_4383",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_55",0,0,0,0,16,0,0,0,16,0,0,0,6,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0
"OTU_419",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_35",0,0,0,0,0,0,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,67,0,0,4,25,95,18,0,11,0,12,6,44,29,0,1,1,0,0,0,1,29,75,1,35,0,0,9,0,1,0,0
"OTU_54",26,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,3,42,0,0,0,0,0,0,0,8,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,18,0,0,0,0,0,1,3,1,2,0,0,26,0,0,0,12,1,0,5,31,30,0,13,0,1,0,0
"OTU_401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"OTU_164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0
"OTU_120",0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
"OTU_673",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,11,0,6,0,0,0,1,1,0,0,1,0,0,0,0,0,16,1,9,4,5,5,3,6,0,0,0,0
"OTU_510",0,0,0,2,0,14,0,0,24,0,0,53,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0
"OTU_174",0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"OTU_75",0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,11,0,3,1,12,0,0,1,1,0,0,0,20,42,6,0,5,0,0,6,0,0,0,0
"OTU_11",10244,126,3167,0,155,0,274,140,7396,33,72,43,9,0,137,5859,39,23,0,2888,2,14,1123,1289,18,9588,14,5,118,0,2,1,21,0,78,18,17,73,0,1,28,59,70,2,90,39,77,91,95,11,82,13,33,38,119,1,36,19,29,48,21,5,70,54,114,38,0,45,0,2,0,0
"OTU_377",0,0,315,0,0,0,0,4,0,0,0,1096,0,0,0,139,0,0,0,0,0,0,8,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1",14725,40041,28210,52288,11025,67300,6370,12350,98963,3891,5979,92223,3938,11097,9287,54647,5396,42697,4317,21156,16848,67105,18167,57919,7349,34466,11709,7906,4403,18438,19613,1963,2704,8487,2350,5963,2190,2905,7683,969,2691,6599,7092,183,613,1117,2940,1418,510,412,1572,2781,944,835,3754,913,325,6931,6481,200,583,868,479,1445,894,801,643,634,2,21,0,0
"OTU_189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,127,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_199",0,10,0,0,0,0,0,0,1,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_19",0,24,53,0,19,4,3,0,0,0,72,0,307,0,0,10,0,0,0,2,0,0,2,3,0,0,0,0,13,0,0,0,0,0,0,0,1,1,0,24,20,0,1,0,40,11,4,0,10,0,4,9,29,19,20,0,15,0,0,0,11,38,16,49,44,27,39,12,0,0,1,0
