#OTU ID	R3T2r1Csoil	R3T1r1Bsoil	R3T4r2Bsoil	V2T4r2Csoil	R6T1r1Bsoil	V2T2r1Asoil	R6T1r6Asoil	R3T2r1Asoil	R6T2r5Csoil	V2T4r1Csoil	V2T4r6Csoil	R3T1r5Asoil	R6T2r5Asoil	V2T2r5Asoil	R3T1r5Csoil	R6T1r2Asoil	R3T2r6Bsoil	R6T2r2Csoil	R3T1r6Asoil	V2T4r1Bsoil	R3T4r5Csoil	R3T4r5Asoil	R3T1r1Csoil	R6T2r6Bsoil	V2T1r6Bsoil	V2T4r2Asoil	R3T1r6Bsoil	V2T4r5Bsoil	R6T2r5Bsoil	R6T2r2Bsoil	R6T1r2Csoil	R6T1r5Bsoil	R3T2r2Csoil	V2T1r2Bsoil	V2T1r2Csoil	R3T1r2Csoil	V2T1r6Csoil	R3T4r1Bsoil	R6T1r1Csoil	R3T4r6Bsoil	R3T1r2Bsoil	R3T4r2Asoil	V2T2r2Bsoil	V2T4r5Csoil	R3T4r1Csoil	V2T1r2Asoil	R3T2r5Asoil	R6T2r6Asoil	R6T2r2Asoil	R6T2r1Asoil	R3T4r1Asoil	V2T2r6Asoil	R6T1r5Asoil	R3T1r1Asoil	R3T1r5Bsoil	V2T4r6Bsoil	V2T2r1Bsoil	V2T4r2Bsoil	V2T4r6Asoil	R3T4r6Csoil	R3T2r2Bsoil	V2T1r5Bsoil	V2T1r6Asoil	V2T2r6Bsoil	R3T4r6Asoil	V2T1r1Bsoil	R3T2r1Bsoil	R6T1r1Asoil	V2T2r5Bsoil	R6T1r6Csoil	R6T1r5Csoil	R6T1r6Bsoil	R3T4r5Bsoil	V2T4r5Asoil	V2T2r1Csoil	R3T4r2Csoil	R6T2r1Bsoil	R3T1r6Csoil	R6T1r2Bsoil	V2T2r2Asoil	V2T1r5Asoil	V2T4r1Asoil	V2T1r1Asoil	R3T1r2Asoil	V2T2r5Csoil	V2T1r1Csoil	R3T2r5Csoil	R6T2r1Csoil	R3T2r5Bsoil	V2T2r6Csoil	V2T1r5Csoil	R3T2r2Asoil	V2T2r2Csoil	R3T2r6Csoil	R6T4r5Bsoil	R6T2r6Csoil	R3T2r6Asoil	NC1soil	R6T4r5Csoil	R6T4r1Asoil
OTU_6	101	1282	6900	1134	470	200	552	1234	1223	971	4773	518	987	1209	305	1949	966	12449	3742	155	7531	993	3074	5459	1014	10801	4563	0	4760	4183	1463	5661	3834	170	3571	1512	2515	432	523	3945	365	1215	1330	960	4680	1295	3026	1172	12	125	5700	4498	848	465	3660	947	1145	2021	2	2527	6911	637	1241	1952	2030	617	653	1087	1487	621	500	141	5896	1170	3156	9469	823	365	503	0	2027	362	221	1475	1242	2436	1748	2215	0	559	249	808	206	148	1	1	1	0	0	0
OTU_49	0	0	2921	0	0	0	0	0	0	0	0	0	98	1	0	5717	0	115	1	0	0	0	73	1135	0	481	0	0	0	505	39	1	0	0	0	0	134	0	0	128	0	0	367	0	0	0	0	0	780	0	963	0	1419	0	0	0	0	1122	0	0	251	0	0	20	0	0	0	2903	0	535	481	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	194	1436	140	0	28	35	14	84	0	0	0	0	0	0
OTU_117	56	0	0	25	0	0	1	0	0	0	0	0	0	115	0	0	648	0	0	0	0	96	0	0	114	0	0	0	0	0	1	0	171	0	4103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	499	0	0	0	0	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	983	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_19	265	288	0	173	0	0	0	270	0	3520	0	19890	332	983	0	0	980	0	1747	0	147	1005	0	0	672	0	0	311	0	0	802	0	2485	0	1064	0	0	652	343	135	0	456	0	41	116	18	61	299	0	4048	0	1206	0	0	118	178	346	0	0	84	198	0	0	333	2204	0	24	1	0	0	0	0	0	79	0	54	474	0	0	0	481	0	0	42	0	1355	12	0	0	0	3	0	0	0	0	0	0	0	0	0
OTU_7	2728	711	320	965	2410	352	272	4234	1159	3472	1635	3040	4180	595	82	2734	1914	1441	749	1905	523	4072	207	1160	6149	0	58	244	575	1955	1488	236	952	1	1006	2473	1375	1643	1982	1136	1565	1	975	2997	234	274	722	670	24	170	537	2452	871	440	1080	1806	131	1403	6042	58	0	326	1203	752	2636	1171	460	2894	123	443	11246	19358	1	172	265	2152	635	139	242	24	0	1289	135	1	1715	8804	525	31	0	223	355	191	111	50	1	1	0	1	0	0
OTU_144	7	56	0	161	0	0	0	119	0	0	228	286	137	28	0	204	21	0	698	180	0	36	63	415	0	0	318	0	0	0	161	426	33	0	0	80	10	0	393	35	0	0	0	0	0	0	0	0	0	0	0	0	244	105	0	131	0	63	0	0	0	23	0	0	0	0	0	0	16	27	0	0	0	48	0	0	0	81	0	0	0	0	0	72	0	108	0	31	0	0	8	0	0	0	0	0	0	1	0	0
OTU_1887	49	195	4	376	242	73	31	282	10	518	1297	930	71	55	1315	3	559	1436	1194	127	126	12	1081	0	66	0	128	885	70	45	184	20	259	9	5	44	99	13	51	622	1	2558	1	126	168	125	82	74	203	469	927	408	0	124	64	50	2	17	192	595	124	224	1	90	193	0	270	38	0	15	1	0	0	1	1145	65	3	11	0	9	522	19	2	345	13	148	3	110	198	130	1	5	9	0	0	0	2	0	0	0
OTU_2575	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_556	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0
OTU_50	1	0	888	0	185	103	239	107	1376	0	160	0	0	0	636	332	98	1504	0	2172	0	0	181	670	0	722	0	1845	1593	396	0	2357	0	0	0	0	499	0	0	196	17	0	206	1732	0	752	0	0	31	600	202	0	0	663	2209	0	0	746	2989	0	629	0	3538	0	0	313	1336	50	0	4173	1249	0	11809	0	0	25	0	0	0	0	536	68	26	0	0	0	1588	1000	76	0	80	275	10	40	0	0	0	0	0	0
OTU_40	16	48	0	31	162	187	94	336	187	7	0	0	63	82	1093	0	78	115	0	25	5877	59	219	836	117	0	129	178	0	1068	74	647	290	558	0	178	69	0	38	227	283	873	1884	331	0	89	233	1	938	0	5	0	0	167	1280	2381	0	76	225	743	346	444	10	186	252	5	136	4	0	18	57	12	206	135	92	33	0	367	0	391	0	176	1	206	0	240	40	1	104	201	13	24	0	49	0	0	0	0	0	0
OTU_24	177	261	508	370	878	0	115	383	318	1135	1340	830	698	508	697	1080	465	948	1053	85	276	441	528	449	344	396	123	0	296	266	742	1	2797	177	3143	161	507	1677	283	496	66	0	363	226	1051	263	327	414	8	67	1808	1471	506	244	3205	456	181	450	84	1126	254	54	104	35	1595	257	100	367	203	141	355	91	559	280	405	141	251	1	0	51	426	132	97	127	0	713	592	102	0	156	15	141	9	22	0	0	0	0	0	0
OTU_16	10	852	373	0	0	0	0	0	0	0	0	0	314	0	0	0	0	0	1	0	0	28	1402	0	0	0	412	0	16511	244	3311	0	81	0	529	43	419	0	0	1204	681	0	981	0	838	522	216	185	0	0	0	91	1	25	2874	0	0	4275	0	0	28	0	0	377	48	0	22	46	0	1472	378	3902	2464	192	137	0	429	0	0	111	145	4	218	0	0	0	6030	48	0	0	798	242	0	3	1	0	0	0	0	0
OTU_298	7	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	809	0	0	0	0	0	1535	0	0	0	0	0	20	0	0	0	0	545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4	184	844	959	538	322	967	2407	596	249	1682	3146	5599	1799	1098	25813	1113	853	4734	3724	2205	560	723	1160	77	968	0	1238	2235	2156	1499	2500	4836	5810	2589	2161	1663	1083	3856	1045	1542	320	1394	158	350	605	888	1317	1256	991	1841	6322	794	147	3267	2263	1221	377	984	5120	12301	1979	668	756	236	4154	358	4321	390	382	222	196	0	0	506	569	1940	433	2037	0	1048	1294	108	143	4900	2343	2980	767	574	4014	2686	173	124	57	9	1	0	4	1	0	0
OTU_18	46581	226	0	6	0	0	0	727	0	274	0	0	40	89	0	0	127	0	0	0	0	0	0	0	129	0	0	14	0	0	0	0	0	0	0	0	0	1687	0	15	0	0	13	18	0	0	0	0	0	0	57	0	0	16	0	57	88	0	45	107	0	0	213	1	313	0	325	0	0	0	0	0	0	0	0	31	2	0	0	778	0	0	36	33	0	96	0	0	0	0	0	0	7	0	0	0	2	0	0	0
OTU_96	0	71	0	99	241	0	0	271	0	79	0	190	0	0	791	0	0	0	0	0	1065	31	0	0	0	0	187	66	0	182	0	1198	0	178	370	0	41	0	0	0	0	0	71	0	0	65	0	0	0	0	55	191	0	173	82	0	0	434	136	0	199	149	0	0	0	0	2365	0	0	29	0	0	0	0	0	151	98	147	0	60	0	0	0	26	0	0	110	0	258	0	33	57	0	11	1	0	3	0	0	0
