OTU_ID	Kingdom_RDP	Kingdom_BLAST	Kingdom_SINTAX	Kingdom_Consensus	Phylum_RDP	Phylum_BLAST	Phylum_SINTAX	Phylum_Consensus	Class_RDP	Class_BLAST	Class_SINTAX	Class_Consensus	Order_RDP	Order_BLAST	Order_SINTAX	Order_Consensus	Family_RDP	Family_BLAST	Family_SINTAX	Family_Consensus	Genus_RDP	Genus_BLAST	Genus_SINTAX	Genus_Consensus	Species_RDP	Species_BLAST	Species_SINTAX	Species_Consensus
OTU_663	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Eurotiomycetes_1	Eurotiomycetes_1	Eurotiomycetes_1	Eurotiomycetes_1	Eurotiales_1	Eurotiales_1	Eurotiales_1	Eurotiales_1	Aspergillaceae_1	Aspergillaceae_1	Aspergillaceae_1	Aspergillaceae_1	Penicillium_1	Penicillium_1	Penicillium_1	Penicillium_1				
OTU_664	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Pleosporales_1	Pleosporales_1	Pleosporales_1	Pleosporales_1	Didymellaceae_1	Didymellaceae_1	Didymellaceae_1	Didymellaceae_1	Calophoma_1		Calophoma_1	Calophoma_1				
OTU_665	Fungi_1	Fungi_1	Fungi_1	Fungi_1		Ascomycota_1		Ascomycota_1		Dothideomycetes_1		Dothideomycetes_1		Pleosporales_1		Pleosporales_1		Phaeosphaeriaceae_1		Phaeosphaeriaceae_1		Neosetophoma_1		Neosetophoma_1				
OTU_666	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1																				
OTU_667	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes_1	Hypocreales_1	Hypocreales_1	Hypocreales_1	Hypocreales_1												
OTU_668	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Pleosporales_1	Pleosporales_1	Pleosporales_1	Pleosporales_1	Bambusicolaceae_1		Bambusicolaceae_1	Bambusicolaceae_1	Corylicola_1		Corylicola_1	Corylicola_1	Corylicola italica 			Corylicola italica 
OTU_669	Fungi_1	Fungi_1	Fungi_1	Fungi_1																								
OTU_670	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Pleosporales_1	Pleosporales_1	Pleosporales_1	Pleosporales_1	Phaeosphaeriaceae_1	Phaeosphaeriaceae_1	Phaeosphaeriaceae_1	Phaeosphaeriaceae_1	Neosetophoma_1	Neosetophoma_1		Neosetophoma_1				
OTU_671	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Eurotiomycetes_1	Eurotiomycetes_1	Eurotiomycetes_1	Eurotiomycetes_1	Eurotiales_1	Eurotiales_1	Eurotiales_1	Eurotiales_1	Aspergillaceae_1	Aspergillaceae_1	Aspergillaceae_1	Aspergillaceae_1	Aspergillus_1	Aspergillus_1	Aspergillus_1	Aspergillus_1				
OTU_672	Fungi_1	Fungi_1	Fungi_1	Fungi_1		Ascomycota_1		Ascomycota_1		Dothideomycetes_1		Dothideomycetes_1		Pleosporales_1		Pleosporales_1		Phaeosphaeriaceae_1		Phaeosphaeriaceae_1		Neosetophoma_1		Neosetophoma_1				
OTU_673	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Pezizomycetes_1	Pezizomycetes_1	Pezizomycetes_1	Pezizomycetes_1	Pezizales_1	Pezizales_1	Pezizales_1	Pezizales_1	Tuberaceae_1	Tuberaceae_1	Tuberaceae_1	Tuberaceae_1	Tuber_1	Tuber_1	Tuber_1	Tuber_1				
OTU_674	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Pleosporales_1	Pleosporales_1	Pleosporales_1	Pleosporales_1		Phaeosphaeriaceae_1		Phaeosphaeriaceae_1								
OTU_675	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1		Mycosphaerellales_1		Mycosphaerellales_1		Mycosphaerellaceae_1		Mycosphaerellaceae_1								
OTU_676	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Eurotiomycetes_1	Eurotiomycetes_1	Eurotiomycetes_1	Eurotiomycetes_1	Chaetothyriales_1	Chaetothyriales_1	Chaetothyriales_1	Chaetothyriales_1	Cyphellophoraceae_1	Cyphellophoraceae_1	Cyphellophoraceae_1	Cyphellophoraceae_1	Cyphellophora_1	Cyphellophora_1	Cyphellophora_1	Cyphellophora_1	Cyphellophora gamsii 			Cyphellophora gamsii 
OTU_677	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Basidiomycota_1		Basidiomycota_1	Basidiomycota_1	Tremellomycetes_1		Tremellomycetes_1	Tremellomycetes_1	Tremellales_1		Tremellales_1	Tremellales_1												
OTU_678	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota_1	Exobasidiomycetes_1	Exobasidiomycetes_1	Exobasidiomycetes_1	Exobasidiomycetes_1	Entylomatales_1	Entylomatales_1	Entylomatales_1	Entylomatales_1	Entylomataceae_1	Entylomataceae_1	Entylomataceae_1	Entylomataceae_1	Tilletiopsis_1	Tilletiopsis_1	Tilletiopsis_1	Tilletiopsis_1	Tilletiopsis washingtonensis 			Tilletiopsis washingtonensis 
OTU_679	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Sordariomycetes_1	Sordariomycetes_1		Sordariomycetes_1	Trichosphaeriales_1	Trichosphaeriales_1		Trichosphaeriales_1	Trichosphaeriaceae_1	Trichosphaeriaceae_1		Trichosphaeriaceae_1	Nigrospora_1	Nigrospora_1		Nigrospora_1	Nigrospora oryzae 			Nigrospora oryzae 
OTU_680	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Botryosphaeriales_1	Botryosphaeriales_1	Botryosphaeriales_1	Botryosphaeriales_1	Botryosphaeriaceae_1	Botryosphaeriaceae_1	Botryosphaeriaceae_1	Botryosphaeriaceae_1	Macrophomina_1	Macrophomina_1	Macrophomina_1	Macrophomina_1	Macrophomina phaseolina 	Macrophomina phaseolina 		Macrophomina phaseolina 
OTU_681	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota_1	Agaricomycetes_1	Agaricomycetes_1	Agaricomycetes_1	Agaricomycetes_1	Cantharellales_1	Cantharellales_1	Cantharellales_1	Cantharellales_1	Ceratobasidiaceae_1	Ceratobasidiaceae_1	Ceratobasidiaceae_1	Ceratobasidiaceae_1								
OTU_682	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Pleosporales_1	Pleosporales_1	Pleosporales_1	Pleosporales_1												
OTU_683	Metazoa_1		Metazoa_1	Metazoa_1	Arthropoda_1		Arthropoda_1	Arthropoda_1	Insecta_1		Insecta_1	Insecta_1	Coleoptera_1		Coleoptera_1	Coleoptera_1	Monotomidae_1			Monotomidae_1	Rhizophagus_2			Rhizophagus_2				
OTU_684	Fungi_1		Fungi_1	Fungi_1																								
OTU_685	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Capnodiales_1	Capnodiales_1	Capnodiales_1	Capnodiales_1	Dissoconiaceae_1	Dissoconiaceae_1	Dissoconiaceae_1	Dissoconiaceae_1	Dissoconium_1		Dissoconium_1	Dissoconium_1				
OTU_686	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Pleosporales_1	Pleosporales_1	Pleosporales_1	Pleosporales_1	Massarinaceae_1	Massarinaceae_1	Massarinaceae_1	Massarinaceae_1		Stagonospora_1		Stagonospora_1				
OTU_687	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Acrospermales_1	Acrospermales_1		Acrospermales_1	Acrospermaceae_1	Acrospermaceae_1		Acrospermaceae_1		Acrospermum_1		Acrospermum_1				
OTU_688	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Pleosporales_1	Pleosporales_1	Pleosporales_1	Pleosporales_1	Didymellaceae_1	Didymellaceae_1	Didymellaceae_1	Didymellaceae_1	Ascochyta_1		Ascochyta_1	Ascochyta_1	Ascochyta medicaginicola var. macrospora 			Ascochyta medicaginicola var. macrospora 
OTU_689	Fungi_1	Fungi_1	Fungi_1	Fungi_1																								
OTU_690	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes_1	Diaporthales_1	Diaporthales_1	Diaporthales_1	Diaporthales_1	Gnomoniaceae_1	Gnomoniaceae_1	Gnomoniaceae_1	Gnomoniaceae_1								
OTU_691	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota_1	Agaricomycetes_1	Agaricomycetes_1	Agaricomycetes_1	Agaricomycetes_1	Russulales_1	Russulales_1	Russulales_1	Russulales_1	Peniophoraceae_1	Peniophoraceae_1	Peniophoraceae_1	Peniophoraceae_1	Entomocorticium_1	Entomocorticium_1	Entomocorticium_1	Entomocorticium_1				
OTU_692	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1		Dothideomycetes_1		Dothideomycetes_1		Pleosporales_1		Pleosporales_1												
OTU_693	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Leotiomycetes_1	Leotiomycetes_1	Leotiomycetes_1	Leotiomycetes_1	Helotiales_1	Helotiales_1	Helotiales_1	Helotiales_1	Hyaloscyphaceae_1	Hyaloscyphaceae_1	Hyaloscyphaceae_1	Hyaloscyphaceae_1	Lachnum_1	Lachnum_1	Lachnum_1	Lachnum_1				
OTU_694	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Lecanoromycetes_1	Lecanoromycetes_1	Lecanoromycetes_1	Lecanoromycetes_1	Ostropales_1	Ostropales_1	Ostropales_1	Ostropales_1	Stictidaceae_1	Stictidaceae_1	Stictidaceae_1	Stictidaceae_1	Neofitzroyomyces_1		Neofitzroyomyces_1	Neofitzroyomyces_1	Neofitzroyomyces nerii 			Neofitzroyomyces nerii 
OTU_695	Fungi_1	Fungi_1	Fungi_1	Fungi_1																								
OTU_696	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1		Mycosphaerellales_1		Mycosphaerellales_1		Mycosphaerellaceae_1		Mycosphaerellaceae_1								
OTU_697	Fungi_1	Fungi_1	Fungi_1	Fungi_1																								
