#OTU ID	R3T2r2Cleaf	V2T4r6Bleaf	R3T1r5Cleaf	R6T1r2Bleaf	R6T2r1Bleaf	R3T2r1Bleaf	R3T1r6Cleaf	V2T4r6Aleaf	V2T1r1Cleaf	R3T2r6Cleaf	R3T4r1Cleaf	V2T2r6Bleaf	R3T4r6Cleaf	R6T2r6Bleaf	V2T4r2Cleaf	R3T4r1Aleaf	V2T4r5Bleaf	V2T1r5Cleaf	V2T1r6Bleaf	R3T1r1Cleaf	V2T4r5Aleaf	V2T1r2Cleaf	R3T4r5Aleaf	R3T1r2Bleaf	R3T1r5Aleaf	R3T4r6Bleaf	R3T4r2Aleaf	R3T2r2Bleaf	R3T2r5Cleaf	R6T2r2Bleaf	R3T2r2Aleaf	R6T2r5Cleaf	V2T2r5Bleaf	R3T1r1Aleaf	R3T2r6Bleaf	V2T4r2Bleaf	R3T1r5Bleaf	R3T2r5Aleaf	V2T1r5Bleaf	R3T2r5Bleaf	V2T1r6Aleaf	R6T1r6Cleaf	V2T4r2Aleaf	V2T2r6Cleaf	R6T2r6Aleaf	V2T1r2Aleaf	R6T2r2Aleaf	V2T1r1Aleaf	R6T4r1Aleaf	V2T2r2Bleaf	V2T2r2Aleaf	R6T2r5Bleaf	V2T2r1Aleaf	R3T4r2Cleaf	R6T2r2Cleaf	R3T4r2Bleaf	R3T1r2Cleaf	R3T1r1Bleaf	R3T4r6Aleaf	R6T2r5Aleaf	R6T1r1Bleaf	R3T2r1Cleaf	V2T1r5Aleaf	R3T1r2Aleaf	R6T2r1Cleaf	R6T4r5Bleaf	V2T4r1Cleaf	R6T1r2Aleaf	R3T4r5Bleaf	V2T4r5Cleaf	R3T4r5Cleaf	V2T1r1Bleaf	R6T1r5Bleaf	R6T4r5Cleaf	R3T2r1Aleaf	R6T2r1Aleaf	R6T1r6Bleaf	V2T2r5Aleaf	R6T1r6Aleaf	V2T1r6Cleaf	R6T1r5Cleaf	R3T1r6Bleaf	V2T4r6Cleaf	V2T1r2Bleaf	R3T2r6Aleaf	R6T2r6Cleaf	V2T2r1Bleaf	V2T4r1Bleaf	R6T1r1Aleaf	R6T1r2Cleaf	V2T4r1Aleaf	R6T1r1Cleaf	V2T2r1Cleaf	R3T1r6Aleaf	V2T2r2Cleaf	R6T1r5Aleaf	V2T2r5Cleaf	V2T2r6Aleaf	R3T4r1Bleaf	R6T4r6Aleaf	NC1leaf
OTU_8	513	850	5015	1674	1730	2843	6811	931	329	3467	1451	3172	487	975	605	2088	1458	247	2646	5338	4942	619	1614	794	2030	6694	4353	4211	473	262	599	3218	211	8211	1611	3395	1086	2855	7032	7336	158	133	816	7601	457	697	3683	785	4852	135	5031	483	3315	703	1033	160	1460	1050	832	10173	719	651	2104	5217	1230	2166	1660	824	1365	658	3751	963	9490	0	517	1842	79	2270	613	616	288	2959	495	3711	1858	7082	217	953	378	533	380	393	1364	2576	251	1139	2130	140	149	37	1
OTU_21	24	0	1414	1470	500	218	3	180	45	1699	142	5	4	18	0	80	11	568	143	50	1	0	205	1063	0	31	63	121	2028	882	114	1116	211	1060	224	39	304	3	30	69	84	435	261	57	32	427	98	2951	0	452	13	800	1555	103	383	314	217	0	37	503	596	106	14	255	0	0	0	445	1046	1064	294	149	726	0	722	2397	9	207	867	521	625	153	67	2309	59	325	113	202	824	222	114	67	19	0	166	9	516	39	54	1	0
OTU_58	26	27	0	0	21	9	106	0	12	117	168	16	1724	82	34	13	150	0	32	135	88	0	23	21	15	29	521	88	0	0	0	0	20	36	10	43	0	218	434	272	0	70	164	266	2	8	39	0	577	0	317	0	407	2	0	0	21	1	0	0	0	0	50	24	30	437	10	29	27	0	166	0	705	0	12	0	0	0	0	5	0	59	43	204	4	52	142	0	0	158	0	0	154	9	0	163	31	0	0	0	0
OTU_20	1555	141	830	491	370	25	3836	1	53	285	2016	2451	3145	1607	795	1147	1962	0	105	5993	2892	358	277	9	106	2593	3037	554	0	0	117	910	126	1227	333	1152	305	1766	9407	2068	0	307	1212	6971	492	288	1460	13	28301	1	4492	521	625	1	5	0	9	641	170	127	0	101	1252	2589	1406	2738	156	1214	182	1	457	0	6129	0	0	503	11	229	0	172	0	1562	213	998	3	2147	83	35	5	263	1	66	724	1353	1	2200	913	347	140	51	1
OTU_6	2939	95	2032	1879	1843	10	13549	4	46	1397	5184	9832	17711	5775	1412	2469	10196	6	26	8512	7130	2044	42	2	109	4295	11835	1849	0	17	508	1700	590	2414	52	1904	1344	7903	14813	11952	0	377	1537	13008	2415	1307	7370	15	15380	4	14128	973	1208	1	1	1	1	5998	1254	31	0	35	7281	12142	7247	15215	189	1468	1589	0	1029	2	21125	1	1	1551	45	64	2	776	0	4128	1749	1779	0	6640	784	1	1	1627	0	33	12049	4119	2	6712	1653	1109	96	25	2
OTU_5	1775	1352	1122	1681	1778	5401	394	5246	928	2437	562	1614	920	734	1693	2951	928	5856	1556	1695	1734	2087	2736	7679	3043	663	427	1201	8557	4028	1510	1560	782	1426	1732	1312	784	1241	836	1091	4739	0	1708	1405	1359	2458	167	6491	1854	1470	565	1709	1455	3937	3742	5186	3353	1878	1225	921	2697	2086	1921	577	1226	508	4740	798	1849	8555	1508	8990	1414	0	7886	4833	226	2932	1601	1307	2739	916	615	1319	2946	396	1038	3355	5460	1705	3043	560	1634	890	3704	1710	1200	169	254	5	2
OTU_64	311	440	0	0	55	16	0	0	143	114	0	0	0	36	57	0	0	37	229	0	2	36	253	100	368	1	34	0	72	15	0	32	13	24	450	0	17	5	0	0	10	0	49	1	30	3	1	114	52	71	2	0	20	3	36	59	0	60	71	544	36	201	0	0	0	0	422	0	0	0	0	40	0	0	51	127	57	173	65	8	9	3	39	0	26	0	47	79	26	47	4	48	0	53	13	0	0	0	137	1	0
OTU_25	12	59	104	262	350	1373	37	242	106	2029	0	35	27	3	30	356	29	1601	4726	8	0	36	396	422	362	22	15	326	1021	296	75	14	13	237	325	49	35	10	140	47	18	116	168	57	49	4	30	1209	42	213	23	131	1	540	299	282	356	22	0	145	284	226	0	21	3	1	291	57	777	5380	210	24	8	0	355	122	0	721	224	29	295	12	106	0	420	39	8	281	340	31	504	3	0	43	38	10	24	26	0	0	0
OTU_38	62	305	150	196	317	48	544	24	46	357	267	344	86	102	82	265	30	45	69	679	303	52	78	154	835	149	257	204	92	0	149	506	133	738	127	180	202	98	645	718	62	540	1132	672	17	98	113	13	45	74	318	152	353	35	40	9	117	91	47	104	36	164	41	231	273	77	427	189	339	347	204	52	336	1	9	213	25	123	84	54	24	18	222	333	15	275	9	38	60	68	98	26	30	156	24	291	176	140	11	0	0
OTU_34	23	38	188	233	35	80	173	35	136	14	7	18	1105	8	0	508	53	97	37	18	44	0	51	41	16	71	68	98	58	66	134	821	99	1059	6	784	113	13	284	185	65	0	94	296	34	243	35	386	131	40	301	198	437	348	246	62	173	18	13	4	109	0	26	10	0	131	28	475	14	42	124	160	718	0	66	66	22	62	375	30	166	10	250	808	245	535	13	53	179	25	185	0	42	16	103	1	1871	0	0	1	0
