OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_1368	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1			
OTU_1369	Fungi_1	Ascomycota_1	Pezizomycetes_1	Pezizales_1	Ascobolaceae_1	Ascobolus_1	
OTU_1370	Fungi_1	Entomophthoromycota_1	Entomophthoromycetes_1	Entomophthorales_1			
OTU_1371	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Neopyrenochaetaceae_1	Neopyrenochaeta_1	
OTU_1372	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Thyridariaceae_1	Parathyridaria_1	Parathyridaria clematidis 
OTU_1373	Fungi_1	Ascomycota_1	Sordariomycetes_1	Coniochaetales_1	Coniochaetaceae_1	Coniochaeta_1	
OTU_1374	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Neosetophoma_1	
OTU_1375	Fungi_1	Ascomycota_1	Sordariomycetes_1	Coniochaetales_1	Coniochaetaceae_1	Lecythophora_1	
OTU_1376	Fungi_1	Ascomycota_1	Lecanoromycetes_1	Ostropales_1			
OTU_1377	Fungi_1						
OTU_1378	Fungi_1	Ascomycota_1	Dothideomycetes_1			Peltaster_1	Peltaster fructicola 
OTU_1379	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Tremellales_1	Cryptococcaceae_1	Teunia_1	
OTU_1380	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1			
OTU_1381	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Neostagonospora_1	Neostagonospora caricis 
OTU_1382	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Russulales_1	Stereaceae_1	Stereum_1	Stereum sanguinolentum 
OTU_1383	Fungi_1	Ascomycota_1	Sordariomycetes_1	Magnaporthales_1	Magnaporthaceae_1	Mycoleptodiscus_1	Mycoleptodiscus terrestris 
OTU_1384	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Polyporales_1	Meruliaceae_1	Scopuloides_1	
OTU_1385	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Setophoma_1	
OTU_1386	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1			
OTU_1387	Fungi_1	Ascomycota_1	Eurotiomycetes_1	Chaetothyriales_1	Herpotrichiellaceae_1		
OTU_1388	Fungi_1	Ascomycota_1	Saccharomycetes_1	Saccharomycetales_1		Candida_1	Candida tropicalis 
OTU_1389	Fungi_1	Ascomycota_1	Sordariomycetes_1	Coniochaetales_1	Coniochaetaceae_1	Coniochaeta_1	
OTU_1390	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Tremellales_1	Bulleribasidiaceae_1	Vishniacozyma_1	
OTU_1391	Fungi_1	Ascomycota_1					
OTU_1392	Fungi_1	Ascomycota_1	Taphrinomycetes_1	Taphrinales_1	Taphrinaceae_1	Taphrina_1	
OTU_1393	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1		Sarocladium_1	
OTU_1394	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Mycosphaerellaceae_1		
