OTU,Genus,PRIMARY TROPHIC GUILD
OTU_2184,#N/A,#N/A
OTU_1358,Talaromyces,unspecified_saprotroph
OTU_5687,Phaeosphaeria,litter_saprotroph
OTU_2918,#N/A,#N/A
OTU_4743,#N/A,#N/A
OTU_5225,Glomus,arbuscular_mycorrhizal
OTU_1092,#N/A,#N/A
OTU_4088,#N/A,#N/A
OTU_7800,Gigaspora,arbuscular_mycorrhizal
OTU_7706,#N/A,#N/A
OTU_3873,#N/A,#N/A
OTU_6675,Glomus,arbuscular_mycorrhizal
OTU_4673,Rhizophagus,arbuscular_mycorrhizal
OTU_5528,Exophiala,animal_parasite
OTU_968,Schizothecium,dung_saprotroph
OTU_3245,Acremonium,unspecified_saprotroph
OTU_1991,#N/A,#N/A
OTU_949,#N/A,#N/A
OTU_3349,Macrophomina,plant_pathogen
OTU_7453,Ambispora,arbuscular_mycorrhizal
OTU_3163,Microdominikia,arbuscular_mycorrhizal
OTU_425,Ramophialophora,soil_saprotroph
OTU_4315,Claroideoglomus,arbuscular_mycorrhizal
OTU_6699,#N/A,#N/A
OTU_6106,Arthrocladium,soil_saprotroph
OTU_2688,Dominikia,arbuscular_mycorrhizal
OTU_2643,Cadophora,litter_saprotroph
OTU_6413,#N/A,#N/A
OTU_3948,Ambispora,arbuscular_mycorrhizal
OTU_2581,#N/A,#N/A
OTU_1399,Gorgomyces,litter_saprotroph
OTU_5514,Coniochaeta,unspecified_saprotroph
OTU_3482,#N/A,#N/A
OTU_7642,Mortierella,soil_saprotroph
OTU_5427,Rhizophagus,arbuscular_mycorrhizal
OTU_3858,#N/A,#N/A
OTU_6350,#N/A,#N/A
OTU_2238,Paraglomus,arbuscular_mycorrhizal
OTU_3695,#N/A,#N/A
OTU_3045,Dominikia,arbuscular_mycorrhizal
OTU_1963,#N/A,#N/A
OTU_7619,#N/A,#N/A
OTU_4859,#N/A,#N/A
OTU_5138,Pseudodactylaria,litter_saprotroph
OTU_3453,#N/A,#N/A
OTU_5146,#N/A,#N/A
OTU_1257,Spiromastix,soil_saprotroph
OTU_5134,#N/A,#N/A
OTU_3392,Ramicandelaber,soil_saprotroph
OTU_3306,#N/A,#N/A
OTU_5268,#N/A,#N/A
OTU_2243,Claroideoglomus,arbuscular_mycorrhizal
OTU_4048,Claroideoglomus,arbuscular_mycorrhizal
OTU_7117,Claroideoglomus,arbuscular_mycorrhizal
OTU_6486,#N/A,#N/A
OTU_5805,#N/A,#N/A
OTU_3536,Gigaspora,arbuscular_mycorrhizal
OTU_6667,Arthrobotrys,animal_parasite
OTU_4959,#N/A,#N/A
OTU_6670,#N/A,#N/A
OTU_1487,#N/A,#N/A
OTU_4394,#N/A,#N/A
OTU_1861,#N/A,#N/A
OTU_5572,#N/A,#N/A
OTU_3644,#N/A,#N/A
OTU_2845,#N/A,#N/A
OTU_1505,Eocronartium,plant_pathogen
OTU_2905,#N/A,#N/A
OTU_4731,#N/A,#N/A
OTU_3057,#N/A,#N/A
OTU_4884,#N/A,#N/A
OTU_5893,#N/A,#N/A
OTU_6313,#N/A,#N/A
OTU_7469,Glomus,arbuscular_mycorrhizal
OTU_2583,#N/A,#N/A
OTU_7218,Harzia,wood_saprotroph
OTU_3204,#N/A,#N/A
OTU_6409,#N/A,#N/A
OTU_7704,#N/A,#N/A
OTU_5890,#N/A,#N/A
OTU_3376,#N/A,#N/A
OTU_7063,#N/A,#N/A
OTU_2865,Arthrobotrys,animal_parasite
OTU_2402,#N/A,#N/A
OTU_1044,Myrothecium,litter_saprotroph
OTU_1299,#N/A,#N/A
OTU_7353,#N/A,#N/A
OTU_4552,#N/A,#N/A
OTU_2220,#N/A,#N/A
OTU_4775,Gigaspora,arbuscular_mycorrhizal
OTU_5063,#N/A,#N/A
OTU_3014,#N/A,#N/A
OTU_7285,#N/A,#N/A
OTU_832,#N/A,#N/A
OTU_2081,#N/A,#N/A
OTU_1213,#N/A,#N/A
OTU_4149,#N/A,#N/A
OTU_983,Scytalidium,wood_saprotroph
OTU_4107,Trichoderma,mycoparasite
OTU_7160,#N/A,#N/A
OTU_5241,Subulicystidium,wood_saprotroph
OTU_7554,#N/A,#N/A
OTU_6674,Conlarium,wood_saprotroph
OTU_6202,Veronaea,plant_pathogen
OTU_4356,#N/A,#N/A
OTU_7685,Claroideoglomus,arbuscular_mycorrhizal
OTU_3985,#N/A,#N/A
OTU_6251,Talaromyces,unspecified_saprotroph
OTU_2788,#N/A,#N/A
OTU_3931,#N/A,#N/A
OTU_1056,#N/A,#N/A
OTU_2514,#N/A,#N/A
OTU_2311,#N/A,#N/A
OTU_2772,#N/A,#N/A
OTU_1344,#N/A,#N/A
OTU_3796,#N/A,#N/A
OTU_1919,Clavulinopsis,soil_saprotroph
OTU_3471,#N/A,#N/A
OTU_3969,Paraglomus,arbuscular_mycorrhizal
OTU_7560,#N/A,#N/A
OTU_5126,Amyloxenasma,wood_saprotroph
OTU_7151,Arthrobotrys,animal_parasite
OTU_4997,Ceratobasidium,plant_pathogen
OTU_3179,Venturia,plant_pathogen
OTU_4812,#N/A,#N/A
OTU_6567,#N/A,#N/A
OTU_5345,#N/A,#N/A
OTU_3318,#N/A,#N/A
OTU_5912,Rhizophagus,arbuscular_mycorrhizal
OTU_1864,#N/A,#N/A
OTU_984,#N/A,#N/A
OTU_6402,#N/A,#N/A
OTU_2438,#N/A,#N/A
OTU_3944,#N/A,#N/A
OTU_3303,Neoceratosperma,litter_saprotroph
OTU_829,#N/A,#N/A
OTU_6697,#N/A,#N/A
OTU_7157,Trichoderma,mycoparasite
OTU_2010,#N/A,#N/A
OTU_1725,#N/A,#N/A
OTU_4826,#N/A,#N/A
OTU_4764,Metacordyceps,animal_parasite
OTU_1617,#N/A,#N/A
OTU_5814,#N/A,#N/A
OTU_6658,Mortierella,soil_saprotroph
OTU_7182,#N/A,#N/A
OTU_1579,#N/A,#N/A
OTU_7086,Myrmecridium,soil_saprotroph
OTU_5580,#N/A,#N/A
OTU_5000,#N/A,#N/A
OTU_7737,#N/A,#N/A
OTU_7735,#N/A,#N/A
OTU_4653,#N/A,#N/A
OTU_6242,#N/A,#N/A
OTU_5504,#N/A,#N/A
OTU_3202,Allomyces,soil_saprotroph
OTU_2400,Claroideoglomus,arbuscular_mycorrhizal
OTU_1704,#N/A,#N/A
OTU_4400,#N/A,#N/A
OTU_5815,#N/A,#N/A
OTU_1578,Mortierella,soil_saprotroph
OTU_2780,Papiliotrema,mycoparasite
OTU_6207,#N/A,#N/A
OTU_6881,#N/A,#N/A
OTU_5030,#N/A,#N/A
OTU_5923,Geastrum,litter_saprotroph
OTU_3928,Trichoderma,mycoparasite
OTU_5185,Gigaspora,arbuscular_mycorrhizal
OTU_2100,#N/A,#N/A
OTU_2614,#N/A,#N/A
OTU_7463,#N/A,#N/A
OTU_4155,#N/A,#N/A
OTU_5049,Arthrobotrys,animal_parasite
OTU_1211,Phaeocytostroma,plant_pathogen
OTU_2936,#N/A,#N/A
OTU_2059,Triscelophorus,foliar_endophyte
OTU_3877,#N/A,#N/A
OTU_1739,#N/A,#N/A
OTU_3688,Rhizophagus,arbuscular_mycorrhizal
OTU_5513,Acaulium,animal_parasite
OTU_4123,Glomus,arbuscular_mycorrhizal
OTU_3213,Trechispora,wood_saprotroph
OTU_3035,Glomus,arbuscular_mycorrhizal
OTU_1081,#N/A,#N/A
OTU_3608,#N/A,#N/A
OTU_4092,Kamienskia,arbuscular_mycorrhizal
OTU_7550,#N/A,#N/A
OTU_7461,#N/A,#N/A
OTU_4746,#N/A,#N/A
OTU_4294,#N/A,#N/A
OTU_5846,#N/A,#N/A
OTU_7451,#N/A,#N/A
OTU_3172,Sakaguchia,unspecified_saprotroph
OTU_5333,#N/A,#N/A
OTU_2749,#N/A,#N/A
OTU_7607,#N/A,#N/A
OTU_6546,#N/A,#N/A
OTU_978,#N/A,#N/A
OTU_3798,Scytalidium,wood_saprotroph
OTU_2189,Wilcoxina,ectomycorrhizal
OTU_3356,Lecythophora,unspecified_saprotroph
OTU_2108,#N/A,#N/A
OTU_4811,Beauveria,animal_parasite
OTU_777,Minimedusa,lichen_parasite
OTU_5648,#N/A,#N/A
OTU_922,#N/A,#N/A
OTU_5892,Gigaspora,arbuscular_mycorrhizal
OTU_7534,Yamadazyma,nectar/tap_saprotroph
OTU_3421,#N/A,#N/A
OTU_7294,#N/A,#N/A
OTU_5764,Exophiala,animal_parasite
OTU_5147,#N/A,#N/A
OTU_6553,Yarrowia,unspecified_saprotroph
OTU_5551,Neosetophoma,litter_saprotroph
OTU_3256,#N/A,#N/A
OTU_2187,#N/A,#N/A
OTU_2863,#N/A,#N/A
OTU_1916,#N/A,#N/A
OTU_4314,#N/A,#N/A
OTU_7458,#N/A,#N/A
OTU_4998,#N/A,#N/A
OTU_2117,#N/A,#N/A
OTU_3888,Rhizophagus,arbuscular_mycorrhizal
OTU_3872,#N/A,#N/A
OTU_7071,#N/A,#N/A
OTU_4889,#N/A,#N/A
OTU_7118,Sebacina,ectomycorrhizal
OTU_3322,#N/A,#N/A
